0807
INFO:root:Epoch[11] Batch [1240]	Speed: 679.39 samples/sec	acc=0.466667
INFO:root:Epoch[11] Batch [1260]	Speed: 665.73 samples/sec	acc=0.463802
INFO:root:Epoch[11] Batch [1280]	Speed: 684.37 samples/sec	acc=0.458203
INFO:root:Epoch[11] Batch [1300]	Speed: 676.30 samples/sec	acc=0.460417
INFO:root:Epoch[11] Batch [1320]	Speed: 674.46 samples/sec	acc=0.462630
INFO:root:Epoch[11] Batch [1340]	Speed: 659.85 samples/sec	acc=0.465365
INFO:root:Epoch[11] Batch [1360]	Speed: 682.33 samples/sec	acc=0.454688
INFO:root:Epoch[11] Batch [1380]	Speed: 679.88 samples/sec	acc=0.466276
INFO:root:Epoch[11] Batch [1400]	Speed: 688.31 samples/sec	acc=0.455469
INFO:root:Epoch[11] Batch [1420]	Speed: 682.35 samples/sec	acc=0.457682
INFO:root:Epoch[11] Batch [1440]	Speed: 665.53 samples/sec	acc=0.463281
INFO:root:Epoch[11] Batch [1460]	Speed: 678.02 samples/sec	acc=0.460286
INFO:root:Epoch[11] Batch [1480]	Speed: 675.77 samples/sec	acc=0.461849
INFO:root:Epoch[11] Batch [1500]	Speed: 666.46 samples/sec	acc=0.470052
INFO:root:Epoch[11] Batch [1520]	Speed: 676.01 samples/sec	acc=0.451042
INFO:root:Epoch[11] Batch [1540]	Speed: 673.69 samples/sec	acc=0.459115
INFO:root:Epoch[11] Batch [1560]	Speed: 672.76 samples/sec	acc=0.459115
INFO:root:Epoch[11] Batch [1580]	Speed: 671.23 samples/sec	acc=0.459505
INFO:root:Epoch[11] Batch [1600]	Speed: 675.40 samples/sec	acc=0.460026
INFO:root:Epoch[11] Batch [1620]	Speed: 679.59 samples/sec	acc=0.462500
INFO:root:Epoch[11] Batch [1640]	Speed: 680.19 samples/sec	acc=0.460547
INFO:root:Epoch[11] Batch [1660]	Speed: 669.36 samples/sec	acc=0.463281
INFO:root:Epoch[11] Batch [1680]	Speed: 674.04 samples/sec	acc=0.461849
lr-batch-epoch: 0.001 1682 11
INFO:root:Epoch[11] Batch [1700]	Speed: 668.26 samples/sec	acc=0.464193
INFO:root:Epoch[11] Batch [1720]	Speed: 680.53 samples/sec	acc=0.464844
INFO:root:Epoch[11] Batch [1740]	Speed: 678.93 samples/sec	acc=0.453516
INFO:root:Epoch[11] Batch [1760]	Speed: 685.50 samples/sec	acc=0.464323
INFO:root:Epoch[11] Batch [1780]	Speed: 682.43 samples/sec	acc=0.463932
INFO:root:Epoch[11] Batch [1800]	Speed: 680.86 samples/sec	acc=0.461198
INFO:root:Epoch[11] Batch [1820]	Speed: 683.67 samples/sec	acc=0.463672
INFO:root:Epoch[11] Batch [1840]	Speed: 666.67 samples/sec	acc=0.463021
INFO:root:Epoch[11] Batch [1860]	Speed: 678.64 samples/sec	acc=0.463932
INFO:root:Epoch[11] Batch [1880]	Speed: 680.53 samples/sec	acc=0.460547
INFO:root:Epoch[11] Batch [1900]	Speed: 678.47 samples/sec	acc=0.465885
INFO:root:Epoch[11] Batch [1920]	Speed: 680.01 samples/sec	acc=0.470182
INFO:root:Epoch[11] Batch [1940]	Speed: 671.85 samples/sec	acc=0.458333
INFO:root:Epoch[11] Batch [1960]	Speed: 675.48 samples/sec	acc=0.463021
INFO:root:Epoch[11] Batch [1980]	Speed: 674.74 samples/sec	acc=0.454297
INFO:root:Epoch[11] Batch [2000]	Speed: 682.65 samples/sec	acc=0.458984
INFO:root:Epoch[11] Batch [2020]	Speed: 682.73 samples/sec	acc=0.466406
INFO:root:Epoch[11] Batch [2040]	Speed: 674.21 samples/sec	acc=0.464974
INFO:root:Epoch[11] Batch [2060]	Speed: 677.93 samples/sec	acc=0.472266
INFO:root:Epoch[11] Batch [2080]	Speed: 676.87 samples/sec	acc=0.470833
INFO:root:Epoch[11] Batch [2100]	Speed: 668.09 samples/sec	acc=0.466406
INFO:root:Epoch[11] Batch [2120]	Speed: 685.27 samples/sec	acc=0.473047
INFO:root:Epoch[11] Batch [2140]	Speed: 676.87 samples/sec	acc=0.464844
INFO:root:Epoch[11] Batch [2160]	Speed: 686.55 samples/sec	acc=0.460286
INFO:root:Epoch[11] Batch [2180]	Speed: 682.68 samples/sec	acc=0.463932
INFO:root:Epoch[11] Batch [2200]	Speed: 679.08 samples/sec	acc=0.455208
INFO:root:Epoch[11] Batch [2220]	Speed: 676.78 samples/sec	acc=0.462760
INFO:root:Epoch[11] Batch [2240]	Speed: 673.20 samples/sec	acc=0.467057
INFO:root:Epoch[11] Batch [2260]	Speed: 684.49 samples/sec	acc=0.466016
INFO:root:Epoch[11] Batch [2280]	Speed: 688.27 samples/sec	acc=0.456641
INFO:root:Epoch[11] Batch [2300]	Speed: 679.61 samples/sec	acc=0.459766
INFO:root:Epoch[11] Batch [2320]	Speed: 682.00 samples/sec	acc=0.467578
INFO:root:Epoch[11] Batch [2340]	Speed: 679.25 samples/sec	acc=0.471094
INFO:root:Epoch[11] Batch [2360]	Speed: 687.32 samples/sec	acc=0.471615
INFO:root:Epoch[11] Batch [2380]	Speed: 677.44 samples/sec	acc=0.453125
INFO:root:Epoch[11] Batch [2400]	Speed: 680.18 samples/sec	acc=0.458984
INFO:root:Epoch[11] Batch [2420]	Speed: 685.19 samples/sec	acc=0.462240
INFO:root:Epoch[11] Batch [2440]	Speed: 682.15 samples/sec	acc=0.473047
INFO:root:Epoch[11] Batch [2460]	Speed: 683.29 samples/sec	acc=0.467839
INFO:root:Epoch[11] Batch [2480]	Speed: 690.28 samples/sec	acc=0.454167
INFO:root:Epoch[11] Batch [2500]	Speed: 672.09 samples/sec	acc=0.463021
INFO:root:Epoch[11] Batch [2520]	Speed: 677.56 samples/sec	acc=0.461198
INFO:root:Epoch[11] Batch [2540]	Speed: 663.32 samples/sec	acc=0.461719
INFO:root:Epoch[11] Batch [2560]	Speed: 677.92 samples/sec	acc=0.454688
INFO:root:Epoch[11] Batch [2580]	Speed: 684.37 samples/sec	acc=0.471094
INFO:root:Epoch[11] Batch [2600]	Speed: 691.45 samples/sec	acc=0.471224
INFO:root:Epoch[11] Batch [2620]	Speed: 678.87 samples/sec	acc=0.461068
INFO:root:Epoch[11] Batch [2640]	Speed: 672.48 samples/sec	acc=0.469661
INFO:root:Epoch[11] Batch [2660]	Speed: 682.75 samples/sec	acc=0.463151
INFO:root:Epoch[11] Batch [2680]	Speed: 680.68 samples/sec	acc=0.459766
lr-batch-epoch: 0.001 2682 11
saving 17
INFO:root:Saved checkpoint to "/data/xinguanxi/modify_insightface_relu/models/cosface-relu/car-reid-0017.params"
[34000]Accuracy-Highest: 0.00000
INFO:root:Epoch[11] Batch [2700]	Speed: 608.22 samples/sec	acc=0.462370
INFO:root:Epoch[11] Batch [2720]	Speed: 677.46 samples/sec	acc=0.457292
INFO:root:Epoch[11] Batch [2740]	Speed: 682.08 samples/sec	acc=0.465104
INFO:root:Epoch[11] Batch [2760]	Speed: 686.50 samples/sec	acc=0.462240
INFO:root:Epoch[11] Batch [2780]	Speed: 681.11 samples/sec	acc=0.461849
